stockNumber,availability,shape,weight,color,clarity,cutGrade,polish,symmetry,fluorescenceIntensity,fluorescenceColor,measurements,BGM,eyeClean,lab,reportNumber,rapLabReportID,treatment,rapNetPrice,rapNetDiscountPercent,cashPrice,cashPriceDiscountPercent,buyNowPricePerCt,buyNowRapPercent,depthPercent,tablePercent,girdleThin,girdleThick,girdlePercent,girdleCondition,culetSize,culetCondition,crownHeight,crownAngle,pavilionDepth,pavilionAngle,laserInscription,certComment,keyToSymbols,memberComment,starLength,shade,whiteInclusion,blackInclusion,openInclusion,milky,fancyColor,fancyColorIntensity,fancyColorOvertone,country,state,city,brand,sellerSpec,sarineID,reportFileName,report2FileName,websiteLink,images,videos,documents,tradeShow,reportIssueDate,reportType,labLocation,pairStockNumber,isMatchedPairSeparable,allowRapLinkFeed,parcelStones,tracrID,roughSource,mine
S1000,STPS,Round,1.43,H,VVS2,VG,EX,G,Strong,,6.01 x 4.32 x 3.16,Brown,Yes,GCAL,RN10000,RL10000,,3801.78,-34.56,10552.29,-29.75,2478.76,-32.67,64.28,54.76,Thin,Thin,2.96,Faceted,Small,Abraded,16.66,31.14,44.62,41.83,LI1000,Sample certification comment,"Feather, Cloud",Sample member comment,51.93,No shade,No,No,Yes,No,,,,India,Gujarat,Surat,CG Diamond,Premium,SID1000,report_0.pdf,report2_0.pdf,https://diamondsite.com/diamond/0,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-01-21,Grading,Mumbai,S2000,True,True,Yes,TID3000,Botswana,Orapa
S1001,STPS,Round,3.82,G,VS2,EX,EX,VG,Strong,Yellow,4.06 x 7.36 x 3.12,Milky,Yes,GCAL,RN10001,RL10001,None,9149.6,-31.29,1373.27,-11.25,4820.17,-17.51,59.88,58.76,Thick,Medium,1.77,Faceted,None,Abraded,16.93,34.05,44.26,41.43,LI1001,Sample certification comment,"Feather, Cloud",Sample member comment,52.26,Grey,No,No,No,No,Yellow,,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1001,report_1.pdf,report2_1.pdf,https://diamondsite.com/diamond/1,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-09-11,Grading,Mumbai,S2001,False,True,Yes,TID3001,Botswana,Orapa
S1002,STPS,Oval,2.09,F,VVS1,VG,G,EX,Medium,Yellow,7.17 x 4.28 x 2.37,,No,HRD,RN10002,RL10002,None,6113.74,-48.05,8221.27,-21.07,7606.7,-43.66,64.06,52.14,Thin,Thin,2.44,Faceted,Small,Pointed,10.0,32.9,40.83,40.33,LI1002,Sample certification comment,"Feather, Cloud",Sample member comment,52.31,Grey,No,No,Yes,No,Yellow,Vivid,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1002,report_2.pdf,report2_2.pdf,https://diamondsite.com/diamond/2,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-07-02,Grading,Mumbai,S2002,False,True,Yes,TID3002,Botswana,Orapa
S1003,STPS,Round,1.26,E,IF,EX,EX,EX,Strong,,5.61 x 7.61 x 4.72,Brown,No,IGI,RN10003,RL10003,None,12488.93,-19.33,3935.69,-6.05,11488.35,-43.99,56.54,55.75,Thin,Medium,1.76,Natural,Medium,Chipped,12.08,35.25,44.8,41.21,LI1003,Sample certification comment,"Feather, Cloud",Sample member comment,49.78,Brown,No,Yes,No,No,Yellow,Fancy,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1003,report_3.pdf,report2_3.pdf,https://diamondsite.com/diamond/3,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-08-25,Grading,Mumbai,S2003,False,False,No,TID3003,Botswana,Orapa
S1004,M,Oval,1.37,E,VS1,G,EX,VG,Faint,,4.34 x 4.98 x 4.9,Brown,Yes,GIA,RN10004,RL10004,Fracture Filled,8542.66,-18.05,3266.61,-33.79,2878.37,-20.13,57.54,62.55,Thin,Medium,0.93,Natural,Medium,Chipped,13.91,33.26,40.85,41.06,LI1004,Sample certification comment,"Feather, Cloud",Sample member comment,58.79,Grey,Yes,Yes,No,No,,,,India,Gujarat,Surat,CG Diamond,Premium,SID1004,report_4.pdf,report2_4.pdf,https://diamondsite.com/diamond/4,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-01-21,Grading,Mumbai,S2004,True,True,Yes,TID3004,Botswana,Orapa
S1005,STPS,Princess,3.79,H,VVS2,VG,EX,VG,Medium,,5.43 x 4.65 x 2.33,Brown,No,HRD,RN10005,RL10005,None,1387.16,-13.18,2143.69,-43.4,10270.95,-9.28,62.73,51.65,Thin,Thick,1.01,Polished,Medium,Chipped,16.78,32.06,40.01,40.99,LI1005,Sample certification comment,"Feather, Cloud",Sample member comment,45.24,No shade,No,No,No,No,Blue,,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1005,report_5.pdf,report2_5.pdf,https://diamondsite.com/diamond/5,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-03-31,Grading,Mumbai,S2005,False,True,No,TID3005,Botswana,Orapa
S1006,STPS,Oval,0.94,F,IF,VG,EX,VG,None,Blue,7.9 x 6.82 x 3.97,Milky,Yes,IGI,RN10006,RL10006,,13632.2,-10.34,5247.65,-20.22,10210.76,-14.72,63.38,59.08,Medium,Thick,1.99,Faceted,Medium,Pointed,15.77,34.2,43.92,41.61,LI1006,Sample certification comment,"Feather, Cloud",Sample member comment,59.41,Brown,No,No,No,Yes,,,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1006,report_6.pdf,report2_6.pdf,https://diamondsite.com/diamond/6,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-30,Grading,Mumbai,S2006,False,True,Yes,TID3006,Botswana,Orapa
S1007,NA,Princess,2.79,F,IF,G,G,G,Strong,Yellow,7.51 x 4.65 x 2.3,Milky,No,HRD,RN10007,RL10007,HPHT,9188.08,-58.16,3827.45,-53.72,6066.67,-22.15,62.1,51.35,Thick,Thin,0.88,Polished,None,Chipped,10.81,31.32,44.25,40.55,LI1007,Sample certification comment,"Feather, Cloud",Sample member comment,56.35,Grey,No,No,Yes,No,,,Brown,India,Gujarat,Surat,CG Diamond,Premium,SID1007,report_7.pdf,report2_7.pdf,https://diamondsite.com/diamond/7,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-04-27,Grading,Mumbai,S2007,False,False,Yes,TID3007,Botswana,Orapa
S1008,G,Oval,1.36,D,VVS2,VG,G,EX,None,Blue,6.59 x 6.26 x 3.68,Brown,No,GCAL,RN10008,RL10008,,2231.5,-49.66,3334.37,-64.99,4504.33,-18.05,55.91,50.57,Thick,Medium,1.04,Natural,Small,Abraded,16.65,34.05,41.71,41.57,LI1008,Sample certification comment,"Feather, Cloud",Sample member comment,55.84,No shade,Yes,No,No,Yes,Blue,Faint,Green,India,Gujarat,Surat,CG Diamond,Premium,SID1008,report_8.pdf,report2_8.pdf,https://diamondsite.com/diamond/8,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2024-12-13,Grading,Mumbai,S2008,True,False,Yes,TID3008,Botswana,Orapa
S1009,STPS,Princess,1.75,E,VS2,G,G,G,Strong,Yellow,5.12 x 7.52 x 2.48,Green,Yes,IGI,RN10009,RL10009,HPHT,11603.26,-14.31,9042.52,-59.14,14288.28,-30.5,64.53,59.97,Medium,Thick,2.3,Faceted,None,Abraded,14.81,34.47,42.41,40.75,LI1009,Sample certification comment,"Feather, Cloud",Sample member comment,45.26,Brown,Yes,Yes,Yes,Yes,Yellow,Faint,Orange,India,Gujarat,Surat,CG Diamond,Premium,SID1009,report_9.pdf,report2_9.pdf,https://diamondsite.com/diamond/9,img1.jpg;img2.jpg,vid1.mp4,"[{""file"": ""doc1.pdf"", ""type"": ""cert""}]",JCK Vegas,2025-05-16,Grading,Mumbai,S2009,True,False,Yes,TID3009,Botswana,Orapa
